2.929687499999999432e+02 2.610758021048386279e+00
3.906249999999999432e+02 2.127908573294691852e+00
4.882812499999999432e+02 1.619314184005731683e+00
5.859374999999998863e+02 1.377866657108998583e+00
6.835937499999998863e+02 1.430816649233234816e+00
7.812499999999998863e+02 1.730836381728334761e+00
8.789062499999998863e+02 1.711034425255820057e+00
9.765624999999998863e+02 1.588731133475958845e+00
1.074218749999999773e+03 1.554477118045804795e+00
1.171874999999999773e+03 1.600962892655291903e+00
1.269531249999999773e+03 1.633636605743364001e+00
1.367187499999999773e+03 1.600706827584995828e+00
1.464843749999999773e+03 1.567274143065054970e+00
1.562499999999999773e+03 1.513493166436854054e+00
1.660156249999999773e+03 1.500929518723355116e+00
1.757812499999999773e+03 1.581833822453694749e+00
1.855468749999999773e+03 1.602930868676401888e+00
1.953124999999999773e+03 1.621561534621692280e+00
2.050781249999999545e+03 1.694134965052260799e+00
2.148437499999999545e+03 1.647436796645851187e+00
2.246093749999999545e+03 1.620562964554986829e+00
2.343749999999999545e+03 1.572418472177515181e+00
2.441406249999999545e+03 1.623845712186216872e+00
2.539062499999999545e+03 1.652098890081935778e+00
2.636718749999999545e+03 1.589723134552916584e+00
2.734374999999999545e+03 1.596059512953867943e+00
2.832031249999999545e+03 1.580404778671330224e+00
2.929687499999999545e+03 1.556962060386589464e+00
3.027343749999999545e+03 1.594263544974817481e+00
3.124999999999999545e+03 1.505051203482618893e+00
3.222656249999999545e+03 1.439559500944064707e+00
3.320312499999999545e+03 1.367748094904689626e+00
3.417968749999999545e+03 1.399764725158289647e+00
3.515624999999999545e+03 1.444875027524961109e+00
3.613281249999999545e+03 1.355560693950191631e+00
3.710937499999999545e+03 1.259033151366696357e+00
3.808593749999999545e+03 1.310797163776605156e+00
3.906249999999999545e+03 1.322736708845026810e+00
4.003906249999999545e+03 1.367455691374464211e+00
4.101562499999999091e+03 1.390920957106643430e+00
4.199218749999999091e+03 1.434985948200317107e+00
4.296874999999999091e+03 1.474992569087913763e+00
4.394531249999999091e+03 1.381479264043335764e+00
4.492187499999999091e+03 1.412217303595762363e+00
4.589843749999999091e+03 1.404686142562824758e+00
4.687499999999999091e+03 1.322824594722557423e+00
5.078124999999999091e+03 1.341563867831357948e+00
5.175781249999999091e+03 1.389871674112577615e+00
5.273437499999999091e+03 1.447817274884793504e+00
5.371093749999999091e+03 1.386814479837815917e+00
5.468749999999999091e+03 1.476909000450615128e+00
5.566406249999999091e+03 1.537469915999629455e+00
5.664062499999999091e+03 1.545932699437024160e+00
5.761718749999999091e+03 1.583991435623082200e+00
5.859374999999999091e+03 1.558710172982702868e+00
5.957031249999999091e+03 1.696552563387430768e+00
6.054687499999999091e+03 1.725669750586710460e+00
6.152343749999999091e+03 1.771760881256238651e+00
6.249999999999999091e+03 1.874864636106083893e+00
6.347656249999999091e+03 1.803383595546689699e+00
6.445312499999999091e+03 1.802831904719973011e+00
6.542968749999999091e+03 1.785333657183699296e+00
6.640624999999999091e+03 1.721862993309728473e+00
6.738281249999999091e+03 1.828636974719115127e+00
6.835937499999999091e+03 1.803269660150286224e+00
6.933593749999999091e+03 1.868820332940492435e+00
7.031249999999999091e+03 1.924846347183853279e+00
7.128906249999999091e+03 1.916685390748797291e+00
7.226562499999999091e+03 2.043328000647432585e+00
7.324218749999999091e+03 1.932515032995377524e+00
7.421874999999999091e+03 2.000143826270370351e+00
7.519531249999999091e+03 2.010220922065933280e+00
7.617187499999999091e+03 1.916741365453789037e+00
7.714843749999999091e+03 2.006753527140192173e+00
7.812499999999999091e+03 2.002206430555520278e+00
7.910156249999999091e+03 1.939381430941141682e+00
8.007812499999999091e+03 1.914792796976541478e+00
8.105468749999999091e+03 1.800114279747904167e+00
8.203124999999998181e+03 1.857938992949703882e+00
8.300781249999998181e+03 1.806249842526338467e+00
8.398437499999998181e+03 1.769414826462840873e+00
8.496093749999998181e+03 1.804657253300146369e+00
8.593749999999998181e+03 1.769224085168177751e+00
8.691406249999998181e+03 1.849261165010236629e+00
8.789062499999998181e+03 1.864139439610837723e+00
8.886718749999998181e+03 1.826401692522133802e+00
8.984374999999998181e+03 1.884951134656906557e+00
9.082031249999998181e+03 1.840229830394640498e+00
9.179687499999998181e+03 1.851244853274585100e+00
9.277343749999998181e+03 1.919575592746840753e+00
9.374999999999998181e+03 1.852637622096608538e+00
9.472656249999998181e+03 2.027785519044107421e+00
9.570312499999998181e+03 1.930731990640764506e+00
9.667968749999998181e+03 2.011122589772069702e+00
9.765624999999998181e+03 2.001893378904402887e+00
9.863281249999998181e+03 1.923649596946620965e+00
9.960937499999998181e+03 2.052728412270178548e+00
1.005859374999999818e+04 2.032244590121550676e+00
1.015624999999999818e+04 2.162644194986661716e+00
1.025390624999999818e+04 2.216591255563823637e+00
1.035156249999999818e+04 2.169947978947436518e+00
1.044921874999999818e+04 2.288711647704662511e+00
1.054687499999999818e+04 2.310572829029514441e+00
1.064453124999999818e+04 2.342645988599346918e+00
1.074218749999999818e+04 2.437461025482860144e+00
1.083984374999999818e+04 2.337663408621892813e+00
1.093749999999999818e+04 2.467388940002087416e+00
1.103515624999999818e+04 2.422009837324576420e+00
1.113281249999999818e+04 2.534386129888078543e+00
1.123046874999999818e+04 2.630377606780272881e+00
1.132812499999999818e+04 2.614196347011570776e+00
1.142578124999999818e+04 2.747107970191360771e+00
1.152343749999999818e+04 2.713232019482928248e+00
1.162109374999999818e+04 2.805729583356556311e+00
1.171874999999999818e+04 2.852853423457736515e+00
1.181640624999999818e+04 2.941283226127257233e+00
1.191406249999999818e+04 2.945524096556860982e+00
1.201171874999999818e+04 3.069955816390362191e+00
1.210937499999999818e+04 3.046650671200955784e+00
1.220703124999999818e+04 3.193339393210674171e+00
1.230468749999999818e+04 3.256910490242057143e+00
1.240234374999999818e+04 3.328545499011009490e+00
1.249999999999999818e+04 3.507333274140895352e+00
1.259765624999999818e+04 3.546512806874047463e+00
1.269531249999999818e+04 3.641284604099412903e+00
1.279296874999999818e+04 3.798784864852386534e+00
1.289062499999999818e+04 3.710486531071339744e+00
1.298828124999999818e+04 4.044569594934320556e+00
1.308593749999999818e+04 4.011620981723701185e+00
1.318359374999999818e+04 4.260542584335776262e+00
1.328124999999999818e+04 4.211674796418606981e+00
1.337890624999999818e+04 4.166775957586493995e+00
1.347656249999999818e+04 4.300986297673045300e+00
1.357421874999999818e+04 4.058367787976154162e+00
1.367187499999999818e+04 4.167431042771545968e+00
1.376953124999999818e+04 4.276654557238385834e+00
1.386718749999999818e+04 4.277948434846337911e+00
1.396484374999999818e+04 4.548477913763355751e+00
1.406249999999999818e+04 4.740459118926033000e+00
1.416015624999999818e+04 5.059551572042151335e+00
1.425781249999999818e+04 5.321783257617493490e+00
1.435546874999999818e+04 5.498133920711226530e+00
1.445312499999999818e+04 5.880438582250575585e+00
1.455078124999999818e+04 5.979622414135635999e+00
1.464843749999999818e+04 6.365322328512913685e+00
1.474609374999999818e+04 6.802080628337156654e+00
1.484374999999999818e+04 7.238184057157520890e+00
1.494140624999999818e+04 7.975517467304491070e+00
