 (2.929687499999999432e+02+0.000000000000000000e+00j)  (2.436570326116707541e+00-1.005647909434255124e-02j)
 (3.906249999999999432e+02+0.000000000000000000e+00j)  (2.050168811350911557e+00-1.459730949812490519e-01j)
 (4.882812499999999432e+02+0.000000000000000000e+00j)  (1.560822881722085276e+00-7.372427951575906413e-02j)
 (5.859374999999998863e+02+0.000000000000000000e+00j)  (1.331130991221321391e+00+1.275219605423539848e-01j)
 (6.835937499999998863e+02+0.000000000000000000e+00j)  (1.381187678123965590e+00+2.498297344729707437e-01j)
 (7.812499999999998863e+02+0.000000000000000000e+00j)  (1.674870103834096957e+00+6.387525902695422031e-02j)
 (8.789062499999998863e+02+0.000000000000000000e+00j)  (1.663712291146028033e+00-6.611231555306570917e-02j)
 (9.765624999999998863e+02+0.000000000000000000e+00j)  (1.552267433365854599e+00-1.266878305317828690e-01j)
 (1.074218749999999773e+03+0.000000000000000000e+00j)  (1.485352140012891065e+00-1.279983338939918724e-01j)
 (1.171874999999999773e+03+0.000000000000000000e+00j)  (1.419441941372859173e+00-1.261071159666369013e-01j)
 (1.269531249999999773e+03+0.000000000000000000e+00j)  (1.424087899583508898e+00-1.465888648451108001e-01j)
 (1.367187499999999773e+03+0.000000000000000000e+00j)  (1.389630118282291438e+00-1.645644541009088913e-01j)
 (1.464843749999999773e+03+0.000000000000000000e+00j)  (1.344800801743234464e+00-1.377561952117616617e-01j)
 (1.562499999999999773e+03+0.000000000000000000e+00j)  (1.320890818441502912e+00-1.547316664062231284e-01j)
 (1.660156249999999773e+03+0.000000000000000000e+00j)  (1.311826491346711476e+00-1.022978792525370273e-01j)
 (1.757812499999999773e+03+0.000000000000000000e+00j)  (1.365462884282658163e+00-8.794136833818518018e-02j)
 (1.855468749999999773e+03+0.000000000000000000e+00j)  (1.389757968991084169e+00-8.839127257687083572e-02j)
 (1.953124999999999773e+03+0.000000000000000000e+00j)  (1.428869883024685317e+00-1.152344872920005175e-01j)
 (2.050781249999999545e+03+0.000000000000000000e+00j)  (1.441215126294983495e+00-1.748012476269112381e-01j)
 (2.148437499999999545e+03+0.000000000000000000e+00j)  (1.386397162747813550e+00-2.263818700603547895e-01j)
 (2.246093749999999545e+03+0.000000000000000000e+00j)  (1.354544168254638858e+00-2.087370645521976764e-01j)
 (2.343749999999999545e+03+0.000000000000000000e+00j)  (1.332462835311719385e+00-2.313019372331744095e-01j)
 (2.441406249999999545e+03+0.000000000000000000e+00j)  (1.312724183147055745e+00-2.027486974646401374e-01j)
 (2.539062499999999545e+03+0.000000000000000000e+00j)  (1.324351753805773413e+00-2.256389401813625184e-01j)
 (2.636718749999999545e+03+0.000000000000000000e+00j)  (1.287158675813596220e+00-1.850316004748159826e-01j)
 (2.734374999999999545e+03+0.000000000000000000e+00j)  (1.325156722755683525e+00-1.714350621562112931e-01j)
 (2.832031249999999545e+03+0.000000000000000000e+00j)  (1.339701203849768429e+00-2.037350935400163987e-01j)
 (2.929687499999999545e+03+0.000000000000000000e+00j)  (1.338395316608756991e+00-2.285167110234277710e-01j)
 (3.027343749999999545e+03+0.000000000000000000e+00j)  (1.355773557194986489e+00-2.283359985880662468e-01j)
 (3.124999999999999545e+03+0.000000000000000000e+00j)  (1.382473498828324932e+00-2.671505322878502953e-01j)
 (3.222656249999999545e+03+0.000000000000000000e+00j)  (1.336725044073520330e+00-3.047940745674862506e-01j)
 (3.320312499999999545e+03+0.000000000000000000e+00j)  (1.311306177256643890e+00-3.133531283747249541e-01j)
 (3.417968749999999545e+03+0.000000000000000000e+00j)  (1.255288870332281093e+00-3.406176084957391881e-01j)
 (3.515624999999999545e+03+0.000000000000000000e+00j)  (1.195255189908118298e+00-3.436533376925816063e-01j)
 (3.613281249999999545e+03+0.000000000000000000e+00j)  (1.076125461981983777e+00-3.093159067854108768e-01j)
 (3.710937499999999545e+03+0.000000000000000000e+00j)  (1.043479244227687008e+00-1.643936296674008424e-01j)
 (3.808593749999999545e+03+0.000000000000000000e+00j)  (1.119301333642624519e+00+6.108591767420732017e-03j)
 (3.906249999999999545e+03+0.000000000000000000e+00j)  (1.184715021248868405e+00+2.092217103488692165e-01j)
 (4.003906249999999545e+03+0.000000000000000000e+00j)  (1.658929733917621441e+00+5.298034360106587126e-01j)
 (4.101562499999999091e+03+0.000000000000000000e+00j)  (2.229597223301021724e+00+2.954708229368118166e-01j)
 (4.199218749999999091e+03+0.000000000000000000e+00j)  (2.348998017624404078e+00-4.399885515933778524e-01j)
 (4.296874999999999091e+03+0.000000000000000000e+00j)  (1.808289921317301152e+00-8.819202693285327355e-01j)
 (4.394531249999999091e+03+0.000000000000000000e+00j)  (1.443038048395448136e+00-8.142356223128037751e-01j)
 (4.492187499999999091e+03+0.000000000000000000e+00j)  (1.334880312591386176e+00-6.892534083564577641e-01j)
 (4.589843749999999091e+03+0.000000000000000000e+00j)  (1.313117471207455589e+00-6.171488821890009913e-01j)
 (4.687499999999999091e+03+0.000000000000000000e+00j)  (1.241347273876184598e+00-5.671866160657556000e-01j)
 (5.175781249999999091e+03+0.000000000000000000e+00j)  (1.308083289639115465e+00-4.545818673456154535e-01j)
 (5.273437499999999091e+03+0.000000000000000000e+00j)  (1.271677334731768028e+00-3.961401313394370405e-01j)
 (5.371093749999999091e+03+0.000000000000000000e+00j)  (1.312158594862364414e+00-3.283554052405158186e-01j)
 (5.468749999999999091e+03+0.000000000000000000e+00j)  (1.404386786210204408e+00-3.196025535590241162e-01j)
 (5.566406249999999091e+03+0.000000000000000000e+00j)  (1.563289382602405908e+00-3.941262876361792955e-01j)
 (5.664062499999999091e+03+0.000000000000000000e+00j)  (1.517277690371680254e+00-4.325920478635025823e-01j)
 (5.761718749999999091e+03+0.000000000000000000e+00j)  (1.667794404897489757e+00-4.754827002266260316e-01j)
 (5.859374999999999091e+03+0.000000000000000000e+00j)  (1.662676608326588257e+00-6.100687660242638533e-01j)
 (5.957031249999999091e+03+0.000000000000000000e+00j)  (1.687947598487803402e+00-6.894739894517338819e-01j)
 (6.054687499999999091e+03+0.000000000000000000e+00j)  (1.763504629729011119e+00-8.983374616411509139e-01j)
 (6.152343749999999091e+03+0.000000000000000000e+00j)  (1.776647499128977348e+00-1.128757168202232153e+00j)
 (6.249999999999999091e+03+0.000000000000000000e+00j)  (1.539920499241141272e+00-1.583409297946145600e+00j)
 (6.347656249999999091e+03+0.000000000000000000e+00j)  (9.189865928391041106e-01-1.898030078745973626e+00j)
 (6.738281249999999091e+03+0.000000000000000000e+00j)  (6.941529706640352515e-01-3.607499905916444760e-01j)
 (6.835937499999999091e+03+0.000000000000000000e+00j)  (8.831124659466846882e-01-3.778971519797056366e-01j)
 (6.933593749999999091e+03+0.000000000000000000e+00j)  (1.042778623898215518e+00-3.975162131092166984e-01j)
 (7.031249999999999091e+03+0.000000000000000000e+00j)  (1.213676335530287309e+00-5.887610162332587160e-01j)
 (7.128906249999999091e+03+0.000000000000000000e+00j)  (1.144256612362197778e+00-8.340114457213516630e-01j)
 (7.226562499999999091e+03+0.000000000000000000e+00j)  (8.547561719504905842e-01-9.336468219339951746e-01j)
 (7.324218749999999091e+03+0.000000000000000000e+00j)  (6.815971545787412600e-01-7.640958160045854264e-01j)
